,Comments after removing emojis and stopwords,,CLASS
,,,
,Ami bangaladesh media k believe kori na,,Non abusive
,Bangladesh er police sob gulo jaroj,,Non abusive
,Pori holo bangladesher ak numbar noti.,,Non abusive
,name change kore esechis bhai valo ..,,Non abusive
,Etai toh bujhle na dada etai toh PK er hindu card chilo .etai toh 5% vote.,,Non abusive
,Thik,,Non abusive
,Joy bagla . Nejar mayake chi.,,Non abusive
,Oti odhunikota somaj ta sesh korey debe..bia hoyni edike reception party hoachilo keno..,,Non abusive
,Khub uccho maner sangskriti...bangar sangskriti je koto sundor hochhe ta eder dekhe bojha jai,,Non abusive
,Ara naki aamader neta!,,Non abusive
,Parliament e sindoor pore ki korchilen uni,,Non abusive
,Eder ke tarai super star banay jara eder motoni,,Non abusive
,Esab ki natok chlche madam,,Non abusive
,Ki hocche bojha mushkil.....,,Non abusive
,Bhalo khela hochhe!!,,Non abusive
,E shob khobor jene manusher ba society r ki labh hoche?,,Non abusive
,Ata amader hindu sonaton dhormer samajik biyer  abomanona apoman,,Non abusive
,Conversion koranor dhanday chhilo... Pareni chheredilo...,,Non abusive
,Eder movie dakha akebare bondho kore dite hobe taholei thik hobe,,Non abusive
,"Faltu news na korai valo , faltu subject",,Non abusive
,Didi mukhe mask lagao.. Situatiion bhalo noii...,,Non abusive
,EAI NEKAMI ER MANE KI ?,,Non abusive
,Bharatiya law follow karte habe,,Non abusive
,Ader k bangla channel k banate boleche?,,Non abusive
,Sudhu  kora kori chara kono kaj kore na,,Non abusive
,Mohila bolte parto suting hoche.kto mittha kotha bolbe.mitthar rajjai bas kori.,,Non abusive
,Abar akbar intervew ta bolachilo manus jano tar kag dakha tak bichar kora parsonal life a sa kamon sata tar bapar,,Non abusive
, Etai ki Khela amader sanskritir sathe,,Non abusive
, Attar kono bapper naaaaaaaa,,Non abusive
, Ara abar bole Dillhi cholo.......vaipo aj kichu bolbe na.......,,Non abusive
," Apnader ki problem? Biye korche, ki live in e thake?",,Non abusive
, Valo na,,Non abusive
, Etai ki desher khbar....sottie egula e ki manush shunte chay.... ,,Non abusive
,Esb nia alochona pore korben..age college er exam gulo nia kichu vabum,,Non abusive
,Jara comment korche tara somik er baypar e antata Kichu comment korun !,,Non abusive
,Khela Hobe prokolpo er moto biye Hobe prokolpo chalu hok,,Non abusive
,Sab khetre didi ke tanata ki khub jaruri,,Non abusive
,Personal life niye tomar joto matha betha,,Non abusive
,normal manush er somashay gaar marak.....eder k niye pore thakun aapnara,,Non abusive
,Sir thiki bolechhen. Atake biye na blle ki blbe....,,Non abusive
,Ei to dadu eto din a thik kotha bolechen,,Non abusive
,Era manusher upokar korbe na griho rin sodh korbe,,Non abusive
,Bhai ai sob bhable chintao lage...,,Non abusive
,Sadhasidha akta chele ..... fese gelo,,Non abusive
,Ai sob jene manush er ki hobe,,Non abusive
,E kotha phele debar noi।।।,,Non abusive
,Karo parsonal life niye kno rajniti,,Non abusive
,Khela hoche,,Non abusive
,Kaj nei toder,,Non abusive
,Sera bolechen,,Non abusive
,Thik bolechen,,Non abusive
,Eta thik bolechen,,Non abusive
,Thik hoeche,,Non abusive
,Tata apnar ki,,Non abusive
,Puro industry Badnaam...,,Non abusive
,Seta tar nijer parsonal matter,,Non abusive
,Band kora uchit,,Non abusive
,Cheleta beche gache...,,Non abusive
,Akdom thik,,Non abusive
,thik bolechen . Apnar protakta kothar  jukti  ache.,,Non abusive
,Ekdam thìk tomar katha,,Non abusive
,Didi apner tulona hai na,,Non abusive
,Tui ki koto bhalo,,Non abusive
,Apni to paren ni,,Non abusive
,Mask pora uchit chhilo,,Non abusive
,Na didi,,Non abusive
,Aapni  ki  bolun,,Non abusive
,Apni ki neta hote parechen?,,Non abusive
,"Chandidas er padabalir kotha mone galpo "" .... ek Morane dujan more ......"".",,Non abusive
,ekebare thik korchhen.,,Non abusive
,Atuku bola jetei pare rajneeti te. Er jnno court case hassokor.,,Non abusive
